"filename", "language", "JavaScript", "HTML", "PostCSS", "Markdown", "comment", "blank", "total"
"c:\Users\Acer\Documents\Coding\CayTinhThan\404.html", "HTML", 0, 143, 0, 0, 1, 18, 162
"c:\Users\Acer\Documents\Coding\CayTinhThan\README.md", "Markdown", 0, 0, 0, 47, 0, 16, 63
"c:\Users\Acer\Documents\Coding\CayTinhThan\admin.html", "HTML", 0, 1530, 0, 0, 7, 242, 1779
"c:\Users\Acer\Documents\Coding\CayTinhThan\assets\app.css", "PostCSS", 0, 0, 64, 0, 4, 6, 74
"c:\Users\Acer\Documents\Coding\CayTinhThan\assets\header.css", "PostCSS", 0, 0, 707, 0, 16, 131, 854
"c:\Users\Acer\Documents\Coding\CayTinhThan\assets\leaves.css", "PostCSS", 0, 0, 38, 0, 8, 6, 52
"c:\Users\Acer\Documents\Coding\CayTinhThan\assets\main.css", "PostCSS", 0, 0, 776, 0, 54, 125, 955
"c:\Users\Acer\Documents\Coding\CayTinhThan\assets\modals.css", "PostCSS", 0, 0, 315, 0, 25, 57, 397
"c:\Users\Acer\Documents\Coding\CayTinhThan\assets\styles.css", "PostCSS", 0, 0, 1683, 0, 118, 267, 2068
"c:\Users\Acer\Documents\Coding\CayTinhThan\assets\tree.css", "PostCSS", 0, 0, 301, 0, 30, 46, 377
"c:\Users\Acer\Documents\Coding\CayTinhThan\index.html", "HTML", 0, 866, 0, 0, 25, 73, 964
"c:\Users\Acer\Documents\Coding\CayTinhThan\login.html", "HTML", 0, 617, 0, 0, 1, 93, 711
"c:\Users\Acer\Documents\Coding\CayTinhThan\profile.html", "HTML", 0, 580, 0, 0, 5, 76, 661
"c:\Users\Acer\Documents\Coding\CayTinhThan\register.html", "HTML", 0, 768, 0, 0, 2, 122, 892
"c:\Users\Acer\Documents\Coding\CayTinhThan\src\admin.mjs", "JavaScript", 293, 0, 0, 0, 29, 24, 346
"c:\Users\Acer\Documents\Coding\CayTinhThan\src\auth-guard.js", "JavaScript", 638, 0, 0, 0, 37, 54, 729
"c:\Users\Acer\Documents\Coding\CayTinhThan\src\auth.js", "JavaScript", 536, 0, 0, 0, 94, 84, 714
"c:\Users\Acer\Documents\Coding\CayTinhThan\src\firebase-init.js", "JavaScript", 83, 0, 0, 0, 14, 12, 109
"c:\Users\Acer\Documents\Coding\CayTinhThan\src\modals.js", "JavaScript", 79, 0, 0, 0, 3, 3, 85
"c:\Users\Acer\Documents\Coding\CayTinhThan\src\new_script.js", "JavaScript", 1229, 0, 0, 0, 165, 144, 1538
"c:\Users\Acer\Documents\Coding\CayTinhThan\src\script.js", "JavaScript", 2572, 0, 0, 0, 357, 220, 3149
"c:\Users\Acer\Documents\Coding\CayTinhThan\src\ui.mjs", "JavaScript", 371, 0, 0, 0, 81, 60, 512
"Total", "-", 5801, 4504, 3884, 47, 1076, 1879, 17191
