"filename", "language", "Markdown", "HTML", "JavaScript", "PostCSS", "comment", "blank", "total"
"c:\Users\Acer\Documents\Coding\CayTinhThan\404.html", "HTML", 0, 143, 0, 0, 1, 18, 162
"c:\Users\Acer\Documents\Coding\CayTinhThan\README.md", "Markdown", 47, 0, 0, 0, 0, 16, 63
"c:\Users\Acer\Documents\Coding\CayTinhThan\admin.html", "HTML", 0, 1530, 0, 0, 7, 242, 1779
"c:\Users\Acer\Documents\Coding\CayTinhThan\assets\app.css", "PostCSS", 0, 0, 0, 64, 4, 6, 74
"c:\Users\Acer\Documents\Coding\CayTinhThan\assets\header.css", "PostCSS", 0, 0, 0, 707, 16, 131, 854
"c:\Users\Acer\Documents\Coding\CayTinhThan\assets\leaves.css", "PostCSS", 0, 0, 0, 38, 8, 6, 52
"c:\Users\Acer\Documents\Coding\CayTinhThan\assets\main.css", "PostCSS", 0, 0, 0, 777, 54, 125, 956
"c:\Users\Acer\Documents\Coding\CayTinhThan\assets\modals.css", "PostCSS", 0, 0, 0, 315, 25, 57, 397
"c:\Users\Acer\Documents\Coding\CayTinhThan\assets\styles.css", "PostCSS", 0, 0, 0, 1684, 118, 267, 2069
"c:\Users\Acer\Documents\Coding\CayTinhThan\assets\tree.css", "PostCSS", 0, 0, 0, 308, 30, 47, 385
"c:\Users\Acer\Documents\Coding\CayTinhThan\index.html", "HTML", 0, 866, 0, 0, 25, 73, 964
"c:\Users\Acer\Documents\Coding\CayTinhThan\login.html", "HTML", 0, 617, 0, 0, 1, 93, 711
"c:\Users\Acer\Documents\Coding\CayTinhThan\profile.html", "HTML", 0, 580, 0, 0, 5, 76, 661
"c:\Users\Acer\Documents\Coding\CayTinhThan\register.html", "HTML", 0, 768, 0, 0, 2, 122, 892
"c:\Users\Acer\Documents\Coding\CayTinhThan\src\admin.mjs", "JavaScript", 0, 0, 293, 0, 29, 24, 346
"c:\Users\Acer\Documents\Coding\CayTinhThan\src\auth-guard.js", "JavaScript", 0, 0, 638, 0, 37, 54, 729
"c:\Users\Acer\Documents\Coding\CayTinhThan\src\auth.js", "JavaScript", 0, 0, 536, 0, 94, 84, 714
"c:\Users\Acer\Documents\Coding\CayTinhThan\src\backup.js", "JavaScript", 0, 0, 1815, 0, 344, 222, 2381
"c:\Users\Acer\Documents\Coding\CayTinhThan\src\firebase-init.js", "JavaScript", 0, 0, 83, 0, 14, 12, 109
"c:\Users\Acer\Documents\Coding\CayTinhThan\src\modals.js", "JavaScript", 0, 0, 79, 0, 3, 3, 85
"c:\Users\Acer\Documents\Coding\CayTinhThan\src\script.js", "JavaScript", 0, 0, 2574, 0, 363, 211, 3148
"c:\Users\Acer\Documents\Coding\CayTinhThan\src\ui.mjs", "JavaScript", 0, 0, 371, 0, 81, 60, 512
"Total", "-", 47, 4504, 6389, 3893, 1261, 1949, 18043
